id	34b13a68-e96d-47f7-a766-ff9fdfcc2d81	26a85898-425a-40f2-a4c7-4a969e3ec909
85369	2078.0	921.0
85366	46.0	12.0
85364	3212.0	1088.0
85365	5019.0	1545.0
85363	2169.0	973.0
85360	848.0	278.0
1080	13.0	70.0
85391	32.0	0.0
403296	0.0	0.0
403297	0.0	0.0
85390	0.0	0.0
403299	0.0	0.0
1088	0.0	0.0
153733	415.0	81.0
1087	4.0	0.0
1086	0.0	0.0
440279	148.0	32.0
1085	1.0	1.0
1084	0.0	3.0
440278	263.0	111.0
1082	0.0	0.0
403294	0.0	0.0
440275	4478.0	2061.0
1081	0.0	0.0
85397	1721.0	4.0
85395	480.0	256.0
403285	0.0	0.0
1091	0.0	0.0
1090	0.0	0.0
403288	0.0	0.0
403289	0.0	0.0
1098	0.0	1.0
1097	0.0	0.0
1096	0.0	1.0
1095	0.0	0.0
403281	0.0	0.0
403282	0.0	0.0
1094	0.0	0.0
1093	0.0	0.0
403283	0.0	0.0
403284	0.0	0.0
1092	0.0	0.0
440270	813.0	1116.0
1089	1.0	16.0
85388	0.0	0.0
85389	0.0	0.0
128718	0.0	0.0
285596	9.0	2.0
285598	333.0	165.0
126133	2005.0	813.0
128790	0.0	0.0
126129	76.0	35.0
126123	8.0	1.0
442862	0.0	0.0
126119	1522.0	577.0
442863	0.0	0.0
442864	0.0	0.0
442865	0.0	0.0
442866	0.0	0.0
442867	0.0	0.0
442868	0.0	0.0
128770	0.0	0.0
128774	0.0	0.0
442893	0.0	0.0
442894	0.0	0.0
442895	0.0	0.0
114131	5.0	0.0
442896	0.0	1.0
114132	79.0	7.0
442897	0.0	0.0
442898	0.0	1.0
114134	370.0	382.0
442899	0.0	0.0
100128790	0.0	0.0
128760	6.0	3.0
100128788	73.0	19.0
100128787	0.0	0.0
440225	0.0	0.0
440224	1.0	0.0
442890	0.0	0.0
442891	2.0	2.0
442892	0.0	0.0
128756	0.0	0.0
100128782	544.0	186.0
100128781	0.0	1.0
403230	0.0	0.0
403231	0.0	0.0
403232	0.0	0.0
645560	1.0	5.0
403234	0.0	0.0
403235	1.0	0.0
403236	0.0	0.0
63982	93.0	42.0
102466616	0.0	0.0
126052	0.0	0.0
151009	75.0	47.0
403227	0.0	0.0
403228	0.0	0.0
138046	1.0	0.0
645558	0.0	0.0
403229	0.0	0.0
645573	1.0	1.0
645572	0.0	0.0
645571	35.0	2.0
403223	0.0	0.0
403224	0.0	0.0
403226	0.0	0.0
200634	967.0	346.0
107131122	0.0	1.0
138050	9424.0	4835.0
403219	1.0	0.0
151011	4689.0	1946.0
645587	0.0	3.0
165679	7.0	0.0
126037	23.0	19.0
114049	5686.0	2463.0
106481479	0.0	0.0
100033818	0.0	0.0
100033819	0.0	0.0
85319	0.0	0.0
106481484	0.0	0.0
106481485	0.0	0.0
106481482	0.0	0.0
106481483	0.0	0.0
85315	543.0	203.0
100033821	1.0	1.0
106481488	0.0	0.0
100033822	0.0	0.0
106481489	0.0	0.0
85313	3897.0	1331.0
106481486	0.0	0.0
106481487	0.0	0.0
645579	229.0	146.0
100033820	0.0	0.0
106481480	0.0	0.0
106481481	0.0	0.0
138065	3.0	19.0
645598	0.0	0.0
163007	1.0	0.0
114038	1.0	0.0
645591	0.0	0.0
106481495	0.0	0.0
114041	165.0	28.0
106481496	0.0	0.0
114042	8.0	2.0
106481493	0.0	0.0
114043	24.0	7.0
106481494	0.0	0.0
106481499	0.0	0.0
114044	159.0	101.0
126017	650.0	209.0
106481497	0.0	1.0
106481498	0.0	0.0
85303	0.0	0.0
85300	1.0	1.0
85301	856.0	281.0
106481491	0.0	1.0
106481492	0.0	0.0
106481490	0.0	0.0
403274	0.0	0.0
102466657	0.0	0.0
403275	0.0	0.0
102466656	0.0	0.0
403276	0.0	0.0
403277	0.0	0.0
403278	0.0	0.0
26996	317.0	90.0
106481459	0.0	0.0
26994	13152.0	5376.0
106481457	3.0	1.0
26995	2833.0	1107.0
106481458	0.0	0.0
403271	0.0	0.0
26998	0.0	0.0
403272	0.0	0.0
102466659	0.0	0.0
26999	2735.0	2519.0
403273	0.0	0.0
102466658	0.0	0.0
106481462	0.0	0.0
106481463	0.0	0.0
104310353	0.0	0.0
106481460	0.0	2.0
106481461	0.0	0.0
104310350	0.0	0.0
106481466	0.0	0.0
26993	3165.0	1850.0
106481467	0.0	0.0
106481464	0.0	0.0
106481465	0.0	0.0
104310351	0.0	0.0
403263	0.0	0.0
403264	0.0	0.0
403265	0.0	0.0
403266	0.0	0.0
138009	0.0	0.0
106481468	0.0	0.0
106481469	0.0	0.0
403260	0.0	0.0
106481473	0.0	0.0
106481474	0.0	0.0
106481471	0.0	0.0
85329	2.0	12.0
106481472	0.0	0.0
106481477	1.0	0.0
106481478	0.0	0.0
106481475	0.0	0.0
106481476	0.0	0.0
85320	17.0	25.0
106481470	0.0	1.0
403252	0.0	0.0
403253	0.0	0.0
403254	0.0	0.0
126070	753.0	277.0
403255	0.0	0.0
403256	0.0	0.0
403257	0.0	0.0
344471	3.0	0.0
106481437	0.0	0.0
26974	413.0	139.0
153657	81.0	28.0
106481438	0.0	0.0
106481435	0.0	0.0
26973	1543.0	588.0
165631	20.0	77.0
106481436	0.0	3.0
26978	6.0	0.0
126075	1087.0	675.0
106481439	0.0	0.0
403250	0.0	0.0
126074	338.0	132.0
403251	0.0	0.0
106481440	0.0	0.0
106481441	0.0	0.0
85359	4124.0	1782.0
106481444	10.0	12.0
106481445	0.0	0.0
106481442	0.0	0.0
106481443	0.0	0.0
85358	1784.0	1084.0
85354	0.0	0.0
85352	191.0	33.0
403241	4.0	2.0
344462	3.0	1.0
403244	0.0	0.0
403245	0.0	0.0
153642	903.0	212.0
153643	129.0	9.0
403247	0.0	0.0
403248	0.0	0.0
26985	3727.0	1537.0
106481448	0.0	0.0
26986	36338.0	30031.0
126069	130.0	43.0
106481449	0.0	0.0
126068	1018.0	674.0
106481446	0.0	0.0
26983	0.0	0.0
26984	1231.0	517.0
106481447	0.0	0.0
106481451	2.0	4.0
106481452	0.0	0.0
106481450	0.0	0.0
114088	55.0	7.0
106481455	2.0	0.0
85349	646.0	92.0
106481456	0.0	0.0
26982	0.0	0.0
106481453	0.0	0.0
85347	0.0	0.0
26980	2.0	3.0
106481454	2.0	0.0
403238	1.0	0.0
85344	120.0	4.0
403239	0.0	0.0
85345	0.0	0.0
85343	0.0	0.0
344454	0.0	0.0
85340	0.0	0.0
100873394	0.0	0.0
100873393	0.0	0.0
100873392	3.0	2.0
100873391	0.0	0.0
100873398	0.0	0.0
100873397	0.0	0.0
100873396	0.0	0.0
100873395	0.0	0.0
100128811	0.0	0.0
106481415	0.0	0.0
106481416	1.0	1.0
106481413	0.0	0.0
106481414	0.0	0.0
63901	2391.0	2598.0
100873390	0.0	0.0
728556	44.0	18.0
106481419	0.0	0.0
100128817	0.0	0.0
728558	179.0	75.0
106481417	0.0	0.0
106481418	0.0	0.0
106481422	0.0	0.0
163081	694.0	198.0
106481423	0.0	0.0
106481420	0.0	0.0
106481421	0.0	0.0
100873399	0.0	0.0
100873383	0.0	0.0
100873382	0.0	0.0
100873381	1.0	2.0
100873380	0.0	0.0
100128804	0.0	0.0
100873387	0.0	0.0
100873386	0.0	0.0
100873385	1.0	0.0
100128801	0.0	0.0
285600	333.0	144.0
100873384	0.0	0.0
285601	10.0	18.0
106481426	0.0	0.0
106481427	0.0	0.0
222005	3.0	1.0
63910	72.0	290.0
106481424	0.0	0.0
106481425	0.0	0.0
285605	1219.0	373.0
222008	30.0	0.0
106481428	0.0	0.0
106481429	0.0	1.0
63905	6278.0	1917.0
63904	0.0	0.0
106481430	2.0	0.0
163071	1067.0	575.0
63906	1151.0	535.0
106481433	0.0	0.0
63908	1156.0	472.0
106481434	0.0	0.0
106481431	0.0	0.0
106481432	1.0	0.0
100873389	0.0	0.0
100873388	5.0	4.0
285613	68.0	47.0
63920	745.0	329.0
63923	166.0	10.0
63922	393.0	290.0
728577	43.0	4.0
63925	1485.0	1065.0
63924	16.0	1.0
63916	3256.0	2652.0
63917	6290.0	2542.0
106481400	0.0	0.0
106481401	0.0	0.0
728562	3.0	1.0
728564	7.0	3.0
285622	1.0	0.0
106481404	0.0	0.0
106481405	0.0	0.0
63932	2134.0	1011.0
106481402	0.0	0.0
63931	2799.0	792.0
106481403	2.0	0.0
63934	1066.0	648.0
728567	2.0	1.0
106481408	0.0	0.0
163088	15.0	5.0
63933	4726.0	1767.0
106481409	0.0	0.0
106481406	0.0	0.0
63935	5811.0	2991.0
163087	1099.0	456.0
728568	1130.0	223.0
106481407	15.0	4.0
3704	4443.0	1122.0
3705	5614.0	3906.0
63926	1666.0	377.0
3706	18.0	20.0
63929	1536.0	531.0
3707	1783.0	1994.0
63928	1.0	0.0
3708	15345.0	861.0
106481411	0.0	1.0
3709	1732.0	2136.0
106481412	0.0	0.0
106481410	0.0	0.0
3700	13.0	11.0
3702	76.0	178.0
3703	14811.0	4804.0
645506	0.0	2.0
151050	1900.0	1006.0
645520	0.0	0.0
63941	2068.0	675.0
63940	199.0	453.0
63943	1172.0	287.0
728517	0.0	0.0
163033	914.0	737.0
258010	5939.0	2312.0
63947	0.0	0.0
63946	2.0	0.0
728513	36.0	21.0
100033803	0.0	0.0
3716	10415.0	8329.0
100033804	0.0	0.0
3717	840.0	444.0
100033805	0.0	0.0
3718	114.0	466.0
63939	1116.0	744.0
100033806	0.0	0.0
100190799	4.0	1.0
100033800	0.0	1.0
100033801	0.0	0.0
100033802	0.0	0.0
344405	166.0	82.0
3710	13461.0	22319.0
3712	26181.0	7326.0
3713	0.0	21.0
3714	699.0	868.0
63950	2.0	1.0
728505	0.0	0.0
63951	649.0	270.0
100033807	0.0	0.0
728501	57.0	9.0
100033808	0.0	0.0
100033809	0.0	0.0
3726	36901.0	14192.0
100033814	0.0	0.0
3727	22875.0	6890.0
63948	19.0	0.0
100033815	0.0	0.0
222052	1.0	0.0
3728	32591.0	14412.0
100033816	0.0	0.0
100033817	0.0	0.0
100033810	0.0	0.0
100033811	0.0	0.0
100033812	0.0	0.0
100033813	0.0	0.0
3720	850.0	497.0
151056	186.0	117.0
3725	108090.0	13831.0
645528	0.0	2.0
728532	33.0	16.0
163059	654.0	211.0
728538	1.0	0.0
728537	149.0	112.0
63967	24.0	27.0
3737	74.0	4.0
3738	11.0	16.0
3739	1.0	1.0
645538	0.0	0.0
3730	2570.0	2282.0
3732	3040.0	2659.0
3734	44.0	45.0
3735	8240.0	3868.0
3736	490.0	1.0
63970	8.0	0.0
3750	98.0	88.0
63971	6895.0	3702.0
63974	0.0	0.0
163049	4341.0	1674.0
63973	2.0	3.0
63976	3740.0	596.0
222068	24781.0	8669.0
63978	0.0	2.0
63977	427.0	330.0
63979	389.0	297.0
728524	0.0	0.0
3748	2370.0	789.0
163051	104.0	29.0
3749	408.0	200.0
163050	67.0	23.0
3741	471.0	38.0
645548	10.0	1.0
3743	0.0	0.0
3744	0.0	1.0
3745	156.0	35.0
3746	11.0	4.0
3747	0.0	0.0
285671	2601.0	1326.0
285672	2507.0	845.0
100873431	0.0	0.0
100873430	0.0	0.0
3760	9.0	0.0
285676	76.0	83.0
3761	0.0	0.0
100128657	0.0	0.0
285679	2.0	0.0
100861449	0.0	1.0
100861443	0.0	0.0
100861445	0.0	0.0
3759	105.0	498.0
283008	1.0	0.0
3751	97.0	0.0
100873435	0.0	0.0
3752	271.0	20.0
100873434	0.0	0.0
3753	4.0	6.0
100873433	0.0	0.0
3754	21.0	1.0
100873432	0.0	0.0
3755	1.0	3.0
100873439	0.0	0.0
3756	7.0	10.0
100873438	0.0	0.0
3757	11.0	0.0
100873437	0.0	0.0
3758	146.0	43.0
100873436	0.0	0.0
100873420	1.0	0.0
3770	147.0	44.0
3772	26641.0	10605.0
100861458	0.0	0.0
100861453	12.0	18.0
100861455	0.0	0.0
1107	13550.0	4361.0
1106	8278.0	4922.0
1105	2696.0	1388.0
1104	915.0	587.0
100873429	0.0	0.0
1103	1.0	1.0
1102	3416.0	1203.0
1101	49.0	21.0
3762	733.0	1103.0
100873424	0.0	0.0
3763	0.0	2.0
100128640	221.0	196.0
100873423	0.0	0.0
3764	433.0	129.0
100873422	0.0	0.0
3765	1.0	1.0
100873421	0.0	0.0
3766	40.0	15.0
100873428	0.0	0.0
3767	601.0	351.0
100873427	0.0	0.0
3768	554.0	216.0
1109	1.0	0.0
100873426	2.0	0.0
1108	21294.0	17435.0
3769	167.0	1.0
100873425	0.0	0.0
100128637	1.0	1.0
100128639	0.0	0.0
3780	14.0	1.0
100873453	0.0	0.0
3781	12.0	10.0
100873452	1.0	0.0
3782	591.0	520.0
100873451	0.0	0.0
3783	29.0	606.0
100873450	0.0	0.0
1121	1900.0	989.0
100861468	0.0	0.0
1120	229.0	126.0
100861469	0.0	0.0
1118	110.0	3301.0
1117	957.0	1267.0
1116	21.0	13295.0
1114	68.0	233.0
1113	1.0	4.0
1112	2461.0	1499.0
1111	365.0	215.0
3773	43747.0	13525.0
100873457	1.0	0.0
100873456	0.0	0.0
3775	1086.0	1124.0
100873455	0.0	0.0
3776	1279.0	24.0
100873454	0.0	0.0
3777	1085.0	305.0
3778	149.0	152.0
3779	68.0	98.0
100873459	0.0	0.0
1119	2791.0	1249.0
100128627	1.0	0.0
100128626	0.0	0.0
3790	253.0	276.0
100128628	3.0	5.0
3791	4859.0	1195.0
100873442	0.0	0.0
3792	20.0	15.0
100873441	0.0	0.0
100873440	0.0	0.0
100128625	0.0	0.0
1132	5.0	6.0
1131	134.0	69.0
1130	1599.0	2782.0
100861476	0.0	0.0
1129	0.0	0.0
1128	1.0	0.0
1124	1157.0	840.0
1123	475.0	241.0
1122	1372.0	496.0
100861470	0.0	0.0
3784	14370.0	4505.0
100873446	0.0	0.0
3785	5.0	0.0
100873445	0.0	0.0
3786	27.0	1571.0
100873444	0.0	0.0
3787	126.0	1.0
100873443	0.0	0.0
3788	3.0	2.0
100873449	4.0	4.0
100873448	0.0	0.0
100873447	0.0	0.0
100873471	0.0	0.0
100873470	0.0	0.0
283050	249.0	253.0
100128618	0.0	2.0
728597	10.0	0.0
100128617	4.0	0.0
100873475	0.0	0.0
100873474	0.0	0.0
728591	65.0	0.0
100873473	0.0	0.0
100873472	0.0	0.0
1143	7.0	22.0
285634	3.0	3.0
1142	0.0	0.0
1141	19.0	2.0
285636	3349.0	1296.0
1140	2241.0	676.0
728599	1.0	0.0
1139	43.0	4.0
1138	8.0	3.0
1137	271.0	5.0
100861485	0.0	0.0
1136	19.0	4.0
1135	3.0	0.0
1134	0.0	3.0
1133	10.0	2.0
3795	157.0	47.0
100873479	5.0	5.0
3796	1011.0	627.0
100873478	0.0	0.0
3797	1021.0	196.0
100873477	2.0	3.0
3798	178.0	4.0
100873476	0.0	0.0
3799	12388.0	6540.0
100873460	0.0	0.0
728586	26.0	5.0
285641	0.0	0.0
100873464	0.0	3.0
100873463	0.0	0.0
100873462	1.0	1.0
285643	1.0	0.0
100128603	0.0	0.0
100873461	0.0	0.0
1154	5935.0	2926.0
1153	38398.0	18110.0
1152	20668.0	2659.0
285647	49.0	17.0
728589	5.0	6.0
728588	0.0	1.0
1149	5.0	2.0
1147	2137.0	678.0
1146	0.0	1.0
1145	23.0	26.0
1144	2.0	0.0
100873468	0.0	0.0
100873467	0.0	0.0
100873466	0.0	0.0
100873465	0.0	0.0
283033	0.0	0.0
100873469	0.0	0.0
100873493	0.0	0.0
100873492	0.0	0.0
100873491	0.0	0.0
100873490	0.0	0.0
100873497	0.0	0.0
100873496	0.0	0.0
100873495	0.0	0.0
100873494	0.0	0.0
1164	261.0	163.0
1163	675.0	300.0
285659	0.0	0.0
1161	551.0	183.0
1160	353.0	130.0
1159	151.0	46.0
1158	2.0	4.0
1157	0.0	0.0
1155	3029.0	1515.0
550643	2903.0	1042.0
283025	0.0	0.0
100873499	0.0	0.0
100873498	0.0	0.0
100873482	0.0	0.0
100873481	0.0	0.0
100873480	0.0	0.0
100873486	0.0	0.0
100873485	0.0	0.0
100873484	0.0	0.0
100873483	0.0	0.0
1176	3637.0	1611.0
1175	2799.0	1057.0
285668	17.0	0.0
1174	2271.0	1088.0
1173	19904.0	10523.0
550631	522.0	111.0
100873489	0.0	0.0
283014	38.0	12.0
100873488	1.0	0.0
100873487	0.0	0.0
283093	0.0	0.0
283092	0.0	0.0
1187	546.0	10.0
1186	5075.0	3699.0
1185	1340.0	1099.0
1184	778.0	227.0
1183	2298.0	1068.0
1182	6927.0	3038.0
1181	481.0	210.0
440375	53.0	30.0
1180	3.0	0.0
1179	0.0	0.0
1178	0.0	1.0
283089	29.0	7.0
85495	0.0	0.0
85480	127.0	20.0
283080	0.0	0.0
1198	3435.0	1654.0
1197	1.0	1.0
1196	2061.0	1138.0
1195	6629.0	2914.0
440366	1.0	2.0
1193	5174.0	2011.0
1192	13660.0	8720.0
1191	161252.0	212883.0
1188	2173.0	111.0
283078	92.0	31.0
85486	3.0	4.0
128615	0.0	0.0
85481	0.0	0.0
128611	154.0	60.0
440396	75.0	18.0
128609	0.0	0.0
128602	0.0	0.0
440387	0.0	0.0
128674	0.0	0.0
128676	1.0	1.0
114026	0.0	0.0
100861402	2.0	4.0
126014	9.0	129.0
440335	10.0	1.0
100128690	0.0	0.0
114034	1593.0	497.0
126006	23.0	18.0
114036	263.0	45.0
100128696	0.0	0.0
100128688	0.0	0.0
126003	43.0	28.0
100861412	0.0	0.0
105180390	3.0	0.0
100128685	0.0	0.0
100128681	0.0	0.0
105180391	0.0	0.0
100128682	2.0	2.0
100128678	3.0	0.0
100861429	0.0	0.0
128653	0.0	0.0
200728	655.0	346.0
440356	1.0	0.0
440354	57.0	34.0
440352	0.0	0.0
100873419	0.0	0.0
100873418	0.0	0.0
100873413	1.0	0.0
128646	0.0	0.0
100873412	0.0	0.0
100873411	0.0	0.0
100128675	0.0	16.0
100873410	0.0	0.0
100873417	1.0	0.0
100873416	0.0	0.0
100873415	0.0	0.0
100873414	0.0	0.0
440348	182.0	82.0
100861435	0.0	0.0
100861436	0.0	0.0
440345	49.0	42.0
200734	3129.0	2657.0
100861431	0.0	0.0
100861434	0.0	0.0
100873409	0.0	0.0
440350	2.0	0.0
100873408	0.0	0.0
100873407	0.0	0.0
100861430	4.0	0.0
100873402	0.0	0.0
100873401	1.0	0.0
100873400	0.0	0.0
100128665	0.0	0.0
128637	4967.0	2189.0
100873406	0.0	0.0
100873405	0.0	0.0
100873404	0.0	0.0
100873403	0.0	0.0
645440	0.0	0.0
645443	5.0	5.0
165530	4.0	19.0
85409	21.0	11.0
106481385	0.0	0.0
106481386	0.0	0.0
85416	0.0	0.0
106481383	3.0	2.0
85417	55.0	20.0
106481384	0.0	0.0
103106903	1.0	2.0
85414	126.0	42.0
106481389	0.0	0.0
85415	873.0	437.0
106481387	0.0	0.0
85413	0.0	1.0
106481388	4.0	2.0
645436	0.0	0.0
106481381	0.0	0.0
106481382	0.0	0.0
10	1.0	2.0
106481380	0.0	0.0
11	0.0	0.0
403341	1316.0	630.0
12	1.0	0.0
13	3.0	0.0
14	11099.0	4431.0
15	9.0	4.0
16	15123.0	5284.0
645455	45.0	18.0
18	13148.0	2612.0
19	1575.0	1341.0
128580	4.0	9.0
85407	110.0	21.0
106481396	0.0	0.0
106481397	0.0	0.0
106481394	0.0	0.0
85406	1998.0	907.0
106481395	1.0	0.0
85403	2550.0	996.0
106481398	0.0	0.0
106481399	0.0	0.0
403339	0.0	0.0
106481392	0.0	0.0
106481393	0.0	0.0
20	7902.0	9572.0
106481390	0.0	0.0
21	9744.0	5245.0
106481391	0.0	0.0
22	1348.0	1110.0
153571	156.0	327.0
153572	104.0	280.0
23	5843.0	2081.0
24	95.0	98.0
25	18096.0	5900.0
26	17.0	13.0
27	1923.0	1236.0
28	9184.0	3378.0
29	2618.0	4596.0
153579	540.0	215.0
728615	0.0	0.0
728614	0.0	0.0
200765	351.0	116.0
106481358	0.0	0.0
106481359	0.0	0.0
728611	40.0	7.0
102466518	0.0	1.0
102466516	32.0	13.0
102466515	0.0	0.0
106481363	0.0	0.0
106481364	0.0	0.0
85438	0.0	0.0
106481361	0.0	0.0
85439	2840.0	560.0
106481362	0.0	0.0
106481367	0.0	2.0
85437	4030.0	1216.0
106481368	0.0	0.0
106481365	0.0	0.0
728609	177.0	129.0
106481366	0.0	0.0
30	4502.0	2363.0
106481360	0.0	0.0
31	2193.0	1670.0
32	4253.0	927.0
33	2747.0	1171.0
34	4605.0	1229.0
35	3124.0	1062.0
153562	5774.0	2093.0
36	3599.0	1121.0
37	15926.0	8651.0
38	7742.0	2156.0
440307	9.0	1.0
39	979.0	332.0
165545	2.0	3.0
106481369	0.0	0.0
728606	176.0	46.0
106481374	0.0	0.0
106481375	0.0	0.0
106481372	0.0	0.0
106481373	0.0	0.0
106481378	2.0	1.0
106481379	0.0	0.0
106481376	0.0	0.0
106481377	0.0	0.0
403315	0.0	0.0
40	1.0	0.0
106481370	0.0	0.0
41	64.0	12.0
106481371	0.0	0.0
43	215.0	14.0
645486	1.0	0.0
47	6481.0	3649.0
48	5768.0	6958.0
49	28.0	6.0
106481338	0.0	0.0
106481339	0.0	0.0
106481336	0.0	0.0
106481337	2.0	0.0
106481341	0.0	0.0
106481342	0.0	2.0
106481340	0.0	0.0
85458	3348.0	1044.0
106481345	1.0	1.0
85459	829.0	495.0
106481346	0.0	0.0
85456	12223.0	8875.0
